GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,LdaptivePasswordEncoderProvider,0,4,0,0,0,1,0,1,0,1
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,AuthenticationProperties.LdaptiveProperties.AccountControlEvaluatorProperty,15,0,0,0,3,0,1,0,1,0
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,AuthenticationProperties.CaseTransformation,21,0,0,0,4,0,1,0,1,0
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,AuthenticationProperties.LdaptiveProperties.GroupFetchStrategy,21,0,0,0,4,0,1,0,1,0
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,AuthenticationProperties.LdaptiveProperties.UsernameToBindDnConverterProperty,15,0,0,0,3,0,1,0,1,0
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,AuthenticationProperties.JwtConverterProperties,30,0,0,0,8,0,4,0,4,0
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,AuthenticationProperties.LdaptiveProperties.Template,0,27,0,0,0,5,0,1,0,1
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,LdaptiveAuthenticationAutoConfiguration.PropertiesMapperImpl,339,111,74,29,105,38,63,4,7,4
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,LdaptivePropertiesMapper,3,25,0,0,2,7,0,2,0,2
Spring Integration Boot Autoconfiguration,org.bremersee.spring.boot.autoconfigure.security.authentication,AuthenticationProperties.LdaptiveProperties.SearchScope,27,0,0,0,5,0,1,0,1,0
